title,price,bedrooms,bathrooms,city,property_type,email,phone,24/7 Security,Parking,Shared Gym,Shared Pool,Balcony,Built-in Wardrobes,Maid's Room,Fully Equipped Kitchen,Spacious Living Room,feature_score
1 BR + Maid’s Room Excellent Furnished Apartment in Bousher,OMR 500,1.0,1.0,Bousher,Apartment,info@vistaoman.com,96891991280,False,True,True,True,True,True,True,True,True,24
1 Desk Office Space for Small Companies in Qurum,OMR 200,2.6,2.8,Qurum,Office,info@vistaoman.com,96893389810,False,False,False,False,False,False,False,False,False,15
5 BR + 1 + 1 Rooms Luxury Golf-View Villa with Pool in Muscat Hills,OMR 2300,5.0,5.0,Muscat Hills,Villa,info@vistaoman.com,96893891066,False,False,False,False,False,False,True,False,False,39
1 BR Cozy Freehold Penthouse Apartment – Muscat Hills,OMR 65000,1.0,1.0,Unknown,Penthouse,info@vistaoman.com,96893893443,False,False,False,False,True,True,False,False,False,27
5 BR Spacious Villa in Mabaila South – Excellent Location,OMR 165000,5.0,5.0,Unknown,Villa,info@vistaoman.com,96893893288,False,False,False,False,True,False,False,True,False,32
1 BR Off-Plan Apartment with Store Room – Ghala,OMR 45700,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,False,False,True,True,False,True,False,41
3 BR + Maid’s Room Ground Floor Apartment in MSQ with Amenities,OMR 850,3.0,3.0,MSQ with Amenities,Apartment,info@vistaoman.com,96891991280,False,False,True,True,True,True,True,True,False,28
2 BR Excellent Penthouse Apartment in Sultan Haitham City with Private Pool,OMR 110500,2.0,2.0,Sultan Haitham City with Private Pool,Penthouse,info@vistaoman.com,96871112421,False,False,False,False,True,False,False,False,False,26
3 + 1 BR Duplex Apartment in Sultan Haitham City – Freehold Property,OMR 95840,1.0,3.0,Unknown,Apartment,info@vistaoman.com,96871112421,False,False,False,False,False,False,True,False,False,23
2 BR Elegant Furnished Apartment with Pool View – Muscat Hills,OMR 85000,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893891066,False,False,True,True,True,False,False,True,False,29
126 SQM Freehold Ground Floor Shop – Muscat Hills Business Tower 2,OMR 201600,2.6,2.8,Unknown,Shop,info@vistaoman.com,96871514513,False,False,False,False,False,False,False,False,False,29
"1 BR Brilliant Apartment in Havana, Salalah",OMR 47000,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96893893443,False,False,False,True,True,True,False,False,False,27
4 BR + Maid’s Room + Storage Room Stunning Villa in Muscat Hills,OMR 1450,4.0,4.0,Muscat Hills,Villa,info@vistaoman.com,96893891066,False,False,False,False,False,False,True,True,False,32
2 BR Fully Furnished Apartment in Muscat Grand Mall,OMR 700,2.0,2.0,Muscat Grand Mall,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,True,False,False,True,20
2 BR Flat with Balconies in Qurum For Sale,OMR 53000,2.0,2.0,Qurum For Sale,,info@vistaoman.com,96893893288,False,False,False,False,False,False,False,False,False,13
Furnished Office Space in Maktabi Business Center Wattayah FOR RENT,OMR 375,2.6,2.8,Maktabi Business Center Wattayah FOR RENT,Office,info@vistaoman.com,96893389810,False,False,False,False,False,False,False,False,False,24
2 BR Great Apartment Al Khuwair – Amenities Nearby,OMR 220,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,False,False,True,False,False,False,True,19
31.87 S	QM Shop in Azaiba – Commercial Use – Excellent Location,OMR 480,2.6,2.8,Unknown,Shop,info@vistaoman.com,96893389810,False,False,False,False,False,False,False,False,False,17
3 BR + Maid’s Room Freehold Townhouse in Sultan Haitham City – Phase 2,OMR 111700,3.0,3.0,Unknown,,info@vistaoman.com,96871112421,False,False,False,False,False,False,True,False,False,26
5 + 1 Freehold Future-Ready Villa – Sultan Haitham City,OMR 227700,2.6,5.0,Unknown,Villa,info@vistaoman.com,96893893443,False,False,False,False,True,False,True,False,True,38
1 BR Cozy Apartment in Al Khuwair – Gas Included,OMR 210,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,False,False,False,True,False,False,False,21
7 BR Stunning Villa in Bawshar Heights with Elevator,OMR 370000,7.0,7.0,Bawshar Heights with Elevator,Villa,info@vistaoman.com,96871514513,False,True,False,False,True,False,False,False,False,23
5 BR + Maid’s Room Villa in Mawaleh close to Amenities,OMR 500,5.0,5.0,Mawaleh close to Amenities,Villa,info@vistaoman.com,96891991280,False,False,False,False,False,False,True,False,False,24
3 BR + Maid’s Room Duplex Apartment in Bousher with Shared Pool & Gym,OMR 112000,3.0,3.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,False,False,True,True,True,True,True,24
3 BR + Maid’s Room Great Villa – Madinat Sultan Qaboos,OMR 600,3.0,3.0,Unknown,Villa,info@vistaoman.com,96893893288,False,False,False,False,False,True,True,False,True,32
Office Space 2 Person’s in Maktabi Business Center Wuttayah FOR RENT,OMR 230,2.6,2.8,Maktabi Business Center Wuttayah FOR RENT,Office,info@vistaoman.com,96893389810,False,True,False,False,False,False,False,False,False,24
1 BR Impressive Spacious Apartment in Muscat Hills,OMR 330,1.0,1.0,Muscat Hills,Apartment,info@vistaoman.com,96893891066,False,False,True,True,True,True,False,True,False,28
