title,price,bedrooms,bathrooms,city,property_type,email,phone,24/7 Security,Parking,Shared Gym,Shared Pool,Balcony,Built-in Wardrobes,Maid's Room,Fully Equipped Kitchen,Spacious Living Room,feature_score,total_rooms,price_per_room,city_encoded,property_type_encoded,price_minmax,price_per_room_minmax,total_rooms_minmax,feature_score_minmax,price_std,price_per_room_std,total_rooms_std,feature_score_std
1 BR + Maid’s Room Excellent Furnished Apartment in Bousher,500,1.0,1.0,Bousher,Apartment,info@vistaoman.com,96891991280,False,True,True,True,True,True,True,True,True,24,2.0,250.0,21,0,0.0003000600120024005,0.001977134015301298,0.0,0.3076923076923077,-0.5809642331034601,-0.7290080807717862,-1.2466096496045744,-0.36524872130412595
1 Desk Office Space for Small Companies in Qurum,200,2.6,2.8,Qurum,Office,info@vistaoman.com,96893389810,False,False,False,False,False,False,False,False,False,15,5.4,37.03703703703704,48,1,0.0,0.0,0.18888888888888888,0.07692307692307687,-0.5829597011061657,-0.7382401825430814,-0.01617398183074357,-1.611892132365455
5 BR + 1 + 1 Rooms Luxury Golf-View Villa with Pool in Muscat Hills,2300,5.0,5.0,Muscat Hills,Villa,info@vistaoman.com,96893891066,False,False,False,False,False,False,True,False,False,39,10.0,230.0,46,4,0.0021004200840168035,0.0017914553425599584,0.4444444444444445,0.6923076923076923,-0.5689914250872267,-0.7298750955468296,1.6485330980985566,1.7124902971314222
1 BR Cozy Freehold Penthouse Apartment – Muscat Hills,65000,1.0,1.0,Unknown,Penthouse,info@vistaoman.com,96893893443,False,False,False,False,True,True,False,False,False,27,2.0,32500.0,58,2,0.06481296259251851,0.3013839938107109,0.0,0.3846153846153846,-0.1519386125217616,0.6690532439856447,-1.2466096496045744,0.050299082382983674
5 BR Spacious Villa in Mabaila South – Excellent Location,165000,5.0,5.0,Unknown,Villa,info@vistaoman.com,96893893288,False,False,False,False,True,False,False,True,False,32,10.0,16500.0,58,4,0.16483296659331864,0.15284105561763944,0.4444444444444445,0.5128205128205128,0.5132173883800966,-0.024558576049049766,1.6485330980985566,0.742878755194833
1 BR Off-Plan Apartment with Store Room – Ghala,45700,1.0,1.0,Unknown,Apartment,info@vistaoman.com,96891991280,False,False,False,False,True,True,False,True,False,41,2.0,22850.0,58,0,0.04550910182036408,0.21179403421301468,0.0,0.7435897435897436,-0.2803137206958202,0.2507186150272196,-1.2466096496045744,1.989522166256162
3 BR + Maid’s Room Ground Floor Apartment in MSQ with Amenities,850,3.0,3.0,MSQ with Amenities,Apartment,info@vistaoman.com,96891991280,False,False,True,True,True,True,True,True,False,28,6.0,141.66666666666666,35,0,0.0006501300260052011,0.0009713745379523765,0.2222222222222222,0.41025641025641024,-0.5786361871003036,-0.7337044108032712,0.20096172424699113,0.18881501694535355
2 BR Excellent Penthouse Apartment in Sultan Haitham City with Private Pool,110500,2.0,2.0,Sultan Haitham City with Private Pool,Penthouse,info@vistaoman.com,96871112421,False,False,False,False,True,False,False,False,False,26,4.0,27625.0,57,2,0.11032206441288259,0.25612481733000947,0.1111111111111111,0.3589743589743589,0.15070736788858385,0.4577183925688237,-0.5228239626787916,-0.0882168521793862
3 + 1 BR Duplex Apartment in Sultan Haitham City – Freehold Property,95840,1.0,3.0,Unknown,Apartment,info@vistaoman.com,96871112421,False,False,False,False,False,False,True,False,False,23,4.0,23960.0,58,0,0.09565913182636528,0.222099200550159,0.1111111111111111,0.28205128205128205,0.05319549815637144,0.2988379350421265,-0.5228239626787916,-0.5037646558664959
2 BR Elegant Furnished Apartment with Pool View – Muscat Hills,85000,2.0,2.0,Unknown,Apartment,info@vistaoman.com,96893891066,False,False,True,True,True,False,False,True,False,29,4.0,21250.0,58,0,0.08481696339267854,0.19693974039370754,0.1111111111111111,0.4358974358974359,-0.018907412341389988,0.18135743302375015,-0.5228239626787916,0.32733095150772346
