title,url,raw_text
Elegant Furnished Apartment in Al Ghubra South,https://tibiaan.com/property/elegant-furnished-apartment-in-al-ghubra-south,Elegant Furnished Apartment in Al Ghubra South Al Ghubra South 2 3 1 Details
Elegant Furnished Apartment in Al Ghubra South,https://tibiaan.com/https://tibiaan.com/property/elegant-furnished-apartment-in-al-ghubra-south,Elegant Furnished Apartment in Al Ghubra South Al Ghubra South Details 2 3 1 undefined Details
Villa for Rent in Al Hail South,https://tibiaan.com/https://tibiaan.com/property/villa-for-rent-in-al-hail-south-5,Villa for Rent in Al Hail South Al Hail South Details 4 5 2 4 undefined Details
Twin Villa for Rent in Al Mawaleh North,https://tibiaan.com/https://tibiaan.com/property/twin-villa-for-rent-in-al-mawaleh-north-2,Twin Villa for Rent in Al Mawaleh North Al Mawalah North Details 4 5 1 2 undefined Details
Spacious Villa for Rent in Al Azaiba,https://tibiaan.com/https://tibiaan.com/property/spacious-villa-for-rent-in-al-azaiba,Spacious Villa for Rent in Al Azaiba Al Azaiba Details 7 7 2 475 sqm undefined Details
Luxury Villa for Rent Near Al Qurum Park,https://tibiaan.com/https://tibiaan.com/property/luxury-villa-for-rent-near-al-qurum-park,Luxury Villa for Rent Near Al Qurum Park Al Qurum Details 6 7 3 4 450 sqm undefined Details
"Villa for rent in North Ghubra, near 18th November Street.",https://tibiaan.com/https://tibiaan.com/property/villa-for-rent-in-north-ghubra-near-18th-november-street,"Villa for rent in North Ghubra, near 18th November Street. Al Ghubra North Details 5 7 2 4 undefined Details"
Apartment for Rent in Al-Mouj,https://tibiaan.com/https://tibiaan.com/property/apartment-for-rent-in-al-mouj-1,Apartment for Rent in Al-Mouj Al Mouj Details 2 2 1 2 undefined Details
Twin Villa for Rent in Al Hail North,https://tibiaan.com/https://tibiaan.com/property/twin-villa-for-rent-in-al-hail-north-2,Twin Villa for Rent in Al Hail North Al Hail North Details 4 5 1 4 undefined Details
Townhouse for rent in Madinat Al Ilam,https://tibiaan.com/https://tibiaan.com/property/townhouse-for-rent-in-madinat-al-ilam,Townhouse for rent in Madinat Al Ilam Madinat Al Ilam Details 4 5 2 4 undefined Details
Commercial spaces for rent in Al Mabaila,https://tibiaan.com/https://tibiaan.com/property/commercial-spaces-for-rent-in-al-mabaila,Commercial spaces for rent in Al Mabaila Al Mabela South Details 2 30 sqm undefined Details
Flat for rent in Al Hail North,https://tibiaan.com/https://tibiaan.com/property/flat-for-rent-in-al-hail-north-2,Flat for rent in Al Hail North Al Hail North Details 1 2 1 2 1 sqm undefined Details
Townhouse for rent in AlAnsab,https://tibiaan.com/https://tibiaan.com/property/townhouse-for-rent-in-alansab,Townhouse for rent in AlAnsab Al Ansab Details 4 5 2 2 1 sqm undefined Details
Villa in AlKoud for rent,https://tibiaan.com/https://tibiaan.com/property/villa-in-alkoud-for-rent,Villa in AlKoud for rent Al Khoudh Details 4 4 1 197.7 sqm undefined Details
Twin villa for rent in Al Mabela 8,https://tibiaan.com/https://tibiaan.com/property/twin-villa-for-rent-in-al-mabela-8,Twin villa for rent in Al Mabela 8 Al Mabela South Details 4 4 2 undefined Details
"فيلا للإيجار في العذيبة , موقع استثنائي",https://tibiaan.com/https://tibiaan.com/property/%D9%81%D9%8A%D9%84%D8%A7-%D9%84%D9%84%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%A7%D9%84%D8%B9%D8%B0%D9%8A%D8%A8%D8%A9-%D9%85%D9%88%D9%82%D8%B9-%D8%A7%D8%B3%D8%AA%D8%AB%D9%86%D8%A7%D8%A6%D9%8A,"فيلا للإيجار في العذيبة , موقع استثنائي Al Azaiba Details 5 5 2 1 sqm undefined Details"
Town house for rent near Al Aziba Beach,https://tibiaan.com/https://tibiaan.com/property/town-house-for-rent-near-al-aziba-beach,Town house for rent near Al Aziba Beach Al Azaiba Details 1 sqm undefined Details
"Flat for rent in Al Hail North, main street",https://tibiaan.com/https://tibiaan.com/property/flat-for-rent-in-al-hail-north-main-street,"Flat for rent in Al Hail North, main street Al Hail North Details 2 2 1 sqm undefined Details"
"Flat for rent in Al Hail North, facing the main road.",https://tibiaan.com/https://tibiaan.com/property/flat-for-rent-in-al-hail-north-facing-the-main-road,"Flat for rent in Al Hail North, facing the main road. Al Hail North Details 2 2 1 sqm undefined Details"
Flat for rent in Al Hail North,https://tibiaan.com/https://tibiaan.com/property/flat-for-rent-in-al-hail-north-1,Flat for rent in Al Hail North Al Hail North Details 3 3 1 sqm undefined Details
Flat for rent in a prime location in Qurum,https://tibiaan.com/https://tibiaan.com/property/flat-for-rent-in-a-prime-location-in-qurum,Flat for rent in a prime location in Qurum Al Qurum Details 2 3 undefined Details
